TARGET_DU:Rotation-ActVel      2020-06-09 13:46:54.351493 5.6505  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:54.851540 5.6863  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:55.351582 5.6684  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:55.851621 5.6899  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:56.351583 5.7077  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:56.852672 5.7721  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:57.351750 5.7828  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:57.851790 5.8722  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:58.351809 5.8293  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:58.851851 5.8329  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:59.351920 5.8436  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:59.851922 5.8544  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:00.351952 5.9009  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:00.851997 5.9259  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:01.352009 5.9366  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:01.852010 5.9724  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:02.352126 5.9545  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:02.852166 6.0868  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:03.352223 6.0368  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:03.852247 5.9795  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:04.352282 6.0296  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:04.852529 6.0582  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:05.351562 6.1154  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:05.851541 6.1083  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:06.351521 6.1333  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:06.851542 6.1691  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:07.351562 6.2227  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:07.851513 6.1834  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:08.351702 6.2084  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:08.851700 6.2299  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:09.351690 6.2621  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:09.851695 6.2442  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:10.351773 6.3121  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:10.852811 6.305  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:11.351863 6.3658  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:11.851855 6.2978  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:12.351869 6.305  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:12.851973 6.3729  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:13.351980 6.4087  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:13.853044 6.3729  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:14.352116 6.4051  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:14.852113 6.423  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:15.352127 6.4802  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:15.852156 6.6555  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:16.352239 6.4445  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:16.852273 6.5804  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:17.352232 6.566  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:17.852380 6.5839  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:18.352376 6.5517  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:19.353583 6.5947  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:19.851686 6.6125  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:20.351711 6.6555  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:20.851684 6.7878  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:21.351652 6.7127  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:21.851708 6.6948  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:22.351775 6.7949  
TARGET_DU:Rotation-ActVel      2020-06-09 13:47:22.851698 6.7306  
