TARGET_DU:Rotation-ActVel      2020-06-09 13:56:42.859195 4.4239  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:43.358183 4.3774  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:43.858329 4.3666  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:44.358296 4.3452  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:44.858327 4.313  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:45.358426 4.3416  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:45.857619 4.3845  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:46.357608 4.2522  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:46.857612 4.2236  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:47.357608 4.1771  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:47.857683 4.2164  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:48.357651 4.1056  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:48.857722 4.1091  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:49.357709 4.0913  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:49.857797 4.0555  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:50.357823 4.077  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:50.857842 3.9983  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:51.357840 4.0019  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:51.857884 3.9232  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:52.357942 3.9411  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:52.858017 3.9518  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:53.358008 3.9339  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:53.858076 3.9017  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:54.358094 3.8588  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:55.358222 3.7909  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:55.858223 3.8087  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:56.359273 3.8338  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:56.858431 3.7551  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:57.358289 3.7372  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:57.858376 3.7658  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:58.358414 3.7193  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:58.858450 3.6943  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:59.358541 3.6585  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:59.859522 3.6013  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:00.357784 3.562  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:00.857788 3.5691  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:01.357758 3.5298  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:01.857797 3.5262  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:02.357807 3.4153  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:02.857800 3.3617  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:03.357808 3.3116  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:03.857998 3.3474  
